test_date,district,tests_combined,cases_combined,tests_nontraveller,cases_nontraveller
1/6/2020,Barguna,1,1,1,1
1/6/2020,BARISHAL,2,0,2,0
1/6/2020,Patuakhali,2,0,2,0
1/6/2020,Pirojpur,1,0,1,0
1/8/2020,CHATTOGRAM,7,1,7,1
1/8/2020,Dinajpur,3,0,3,0
1/9/2020,CHATTOGRAM,7,1,7,1
1/16/2020,Narayanganj,1,0,1,0
1/30/2020,Natore,1,1,1,1
1/31/2020,Dhaka,1,1,1,1
1/31/2020,Pabna,1,0,1,0
2/1/2020,Dhaka,1,0,1,0
2/1/2020,Noakhali,19,0,19,0
2/3/2020,Dhaka,1,1,1,1
2/6/2020,Dhaka,7,3,7,3
2/6/2020,Naogaon,2,0,2,0
2/8/2020,CHATTOGRAM,1,0,1,0
2/8/2020,Dinajpur,3,0,3,0
2/8/2020,Thakurgaon,3,0,3,0
2/14/2020,Dhaka,1,0,1,0
2/17/2020,Gazipur,1,0,1,0
2/17/2020,Sirajganj,37,0,37,0
3/2/2020,BOGURA,5,0,5,0
3/6/2020,Bhola,7,0,7,0
3/6/2020,Chuadanga,1,0,1,0
3/6/2020,Dhaka,16,3,16,3
3/6/2020,Jhalokati,1,0,1,0
3/6/2020,Meherpur,1,0,1,0
3/6/2020,Narayanganj,1,0,1,0
3/6/2020,Patuakhali,1,1,1,1
3/6/2020,Pirojpur,5,0,5,0
3/6/2020,Rajbari,1,0,1,0
3/8/2020,Bhola,6,1,6,1
3/8/2020,CHATTOGRAM,2,1,2,1
3/8/2020,Dhaka,134,51,134,51
3/8/2020,Dinajpur,4,0,4,0
3/8/2020,Gazipur,1,0,1,0
3/8/2020,Narayanganj,4,4,4,4
3/8/2020,Natore,1,1,1,1
3/8/2020,Pabna,1,0,1,0
3/8/2020,Patuakhali,2,0,2,0
3/9/2020,CHATTOGRAM,6,2,6,2
3/9/2020,Dhaka,1,1,1,1
3/12/2020,Dhaka,1,1,1,1
3/19/2020,Dhaka,1,1,1,1
3/20/2020,Dhaka,1,1,1,1
3/20/2020,Noakhali,1,0,1,0
3/22/2020,Dhaka,2,1,1,1
3/23/2020,Dhaka,1,0,1,0
3/25/2020,Dhaka,1,1,1,1
3/26/2020,Dhaka,1,1,1,1
3/27/2020,Dhaka,1,1,1,1
3/27/2020,Gaibandha,1,1,1,1
3/27/2020,Sylhet,1,0,1,0
3/30/2020,Barguna,1,0,1,0
3/31/2020,Dhaka,1,1,1,1
3/31/2020,Pirojpur,1,0,1,0
4/2/2020,BOGURA,1,1,1,1
4/2/2020,Dhaka,1,0,1,0
4/3/2020,Barguna,4,0,4,0
4/3/2020,BARISHAL,3,0,3,0
4/3/2020,Dhaka,2,0,2,0
4/3/2020,Dinajpur,1,0,1,0
4/3/2020,Faridpur,1,0,1,0
4/3/2020,Gopalganj,7,0,7,0
4/3/2020,Magura,1,0,1,0
4/3/2020,Narsingdi,1,0,1,0
4/3/2020,Panchagarh,2,1,2,1
4/3/2020,Patuakhali,6,0,6,0
4/3/2020,Pirojpur,4,0,4,0
4/4/2020,COXS BAZAR,4,0,4,0
4/4/2020,Dhaka,98,18,98,18
4/4/2020,Jamalpur,1,0,1,0
4/4/2020,KISHOREGANJ,2,0,2,0
4/4/2020,Moulvibazar,2,1,2,1
4/4/2020,Mymensingh,6,0,6,0
4/4/2020,Netrakona,7,0,7,0
4/4/2020,Patuakhali,1,0,1,0
4/4/2020,Rajshahi,1,0,1,0
4/4/2020,Sunamganj,3,0,3,0
4/4/2020,Sylhet,1,1,1,1
4/4/2020,Tangail,1,0,1,0
4/5/2020,,1,0,1,0
4/5/2020,Bhola,5,0,5,0
4/5/2020,Chandpur,2,0,2,0
4/5/2020,COXS BAZAR,6,0,6,0
4/5/2020,CUMILLA,4,0,4,0
4/5/2020,Dhaka,19,7,19,7
4/5/2020,Jamalpur,3,1,3,1
4/5/2020,Moulvibazar,1,1,1,1
4/5/2020,Mymensingh,7,0,7,0
4/5/2020,Narayanganj,8,7,8,7
4/5/2020,Netrakona,7,0,7,0
4/5/2020,Patuakhali,2,0,2,0
4/5/2020,Sherpur,2,2,2,2
4/5/2020,Sylhet,1,1,1,1
4/5/2020,Tangail,1,0,1,0
4/6/2020,BARISHAL,1,0,1,0
4/6/2020,Bhola,6,0,6,0
4/6/2020,COXS BAZAR,2,0,2,0
4/6/2020,CUMILLA,1,0,1,0
4/6/2020,Dhaka,44,14,44,14
4/6/2020,Dinajpur,2,0,2,0
4/6/2020,Gaibandha,1,1,1,1
4/6/2020,Jhalokati,4,0,4,0
4/6/2020,Kurigram,1,0,1,0
4/6/2020,Madaripur,2,2,2,2
4/6/2020,Mymensingh,10,0,10,0
4/6/2020,Narayanganj,14,4,14,4
4/6/2020,Narsingdi,1,1,1,1
4/6/2020,Netrakona,1,0,1,0
4/6/2020,Patuakhali,3,0,3,0
4/6/2020,Pirojpur,5,0,5,0
