,Name,Abbr.,Status,Native,Adm.,"Area
A (km²)","Population
Census (C)
1991-03-13","Population
Census (C)
2001-01-22","Population
Census (Cf)
2011-03-15","Population
Projection (P)
2016-03-15"
39,Bagerhat,BAG,Dist,বাগেরহাট জেলা,KHD,"3,959","1,431,332","1,549,031","1,476,090","1,601,000"
8,Bandarban,BAN,Dist,বান্দরবান জেলা,CHD,"4,479","230,569","298,120","388,335","434,000"
1,Barguna,BRG,Dist,বরগুনা জেলা,BSD,"1,831","775,693","848,554","892,781","969,000"
2,BARISHAL,BRS,Dist,বরিশাল জেলা,BSD,"2,785","2,207,426","2,355,967","2,324,310","2,583,000"
3,Bhola,BHO,Dist,ভোলা জেলা,BSD,"3,403","1,476,328","1,703,117","1,776,795","1,941,000"
50,BOGURA,BOG,Dist,বগুড়া জেলা,RSD,"2,920","2,669,287","3,013,056","3,400,874","3,724,000"
9,Brahmanbaria,BBA,Dist,ব্রাহ্মণবাড়ীয়া জেলা,CHD,"1,927","2,141,745","2,398,254","2,840,498","3,255,000"
10,Chandpur,CHA,Dist,চাঁদপুর জেলা,CHD,"1,704","2,032,449","2,271,229","2,416,018","2,707,000"
51,CHAPAINABABGANJ,NAW,Dist,চাঁপাইনবাবগঞ্জ জেলা,RSD,"1,703","1,171,469","1,425,322","1,647,521","1,854,000"
11,CHATTOGRAM,CHI,Dist,চট্টগ্রাম জেলা,CHD,"5,283","5,296,127","6,612,140","7,616,352","8,440,000"
40,Chuadanga,CHU,Dist,চুয়াডাঙ্গা জেলা,KHD,"1,177","807,164","1,007,130","1,129,015","1,237,000"
12,CUMILLA,COM,Dist,কুমিল্লা জেলা,CHD,"3,085","4,032,666","4,595,557","5,387,288","6,046,000"
13,COXS BAZAR,COX,Dist,কক্সবাজার জেলা,CHD,"2,492","1,419,260","1,773,709","2,289,990","2,655,000"
20,Dhaka,DHA,Dist,ঢাকা জেলা,DHD,"1,464","5,839,642","8,511,228","12,043,977","13,142,000"
59,Dinajpur,DIN,Dist,দিনাজপুর জেলা,RPD,"3,438","2,260,131","2,642,850","2,990,128","3,268,000"
21,Faridpur,FAR,Dist,ফরিদপুর জেলা,DHD,"2,073","1,505,686","1,756,470","1,912,969","2,088,000"
14,Feni,FEN,Dist,ফেনী জেলা,CHD,928,"1,096,745","1,240,384","1,437,371","1,619,000"
60,Gaibandha,GAI,Dist,গাইবান্ধা জেলা,RPD,"2,179","1,949,274","2,138,181","2,379,255","2,718,000"
22,Gazipur,GAZ,Dist,গাজীপুর জেলা,DHD,"1,800","1,621,562","2,031,891","3,403,912","3,809,000"
23,Gopalganj,GOP,Dist,গোপালগঞ্জ জেলা,DHD,"1,490","1,060,791","1,165,273","1,172,415","1,277,000"
68,Habiganj,HAB,Dist,হবিগঞ্জ জেলা,SHD,"2,637","1,526,609","1,757,665","2,089,001","2,386,000"
52,Joypurhat,JAI,Dist,জয়পুরহাট জেলা,RSD,965,"765,011","846,696","913,768","998,000"
34,Jamalpur,JAM,Dist,জামালপুর জেলা,MSD,"2,032","1,874,440","2,107,209","2,292,674","2,541,000"
41,JASHORE,JES,Dist,যশোর জেলা,KHD,"2,567","2,106,996","2,471,554","2,764,547","3,029,000"
4,Jhalokati,JHA,Dist,ঝালকাঠি জেলা,BSD,749,"666,139","694,231","682,669","741,000"
42,Jhenaidah,JHE,Dist,ঝিনাইদহ জেলা,KHD,"1,961","1,361,280","1,579,490","1,771,304","1,976,000"
15,Khagrachhari,KHA,Dist,খাগড়াছড়ি জেলা,CHD,"2,700","342,488","525,664","613,917","685,000"
43,Khulna,KHU,Dist,খুলনা জেলা,KHD,"4,394","2,010,643","2,378,971","2,318,527","2,528,000"
24,KISHOREGANJ,KIS,Dist,কিশোরগঞ্জ জেলা,DHD,"2,689","2,306,087","2,594,954","2,911,907","3,311,000"
61,Kurigram,KUR,Dist,কুড়িগ্রাম জেলা,RPD,"2,296","1,603,034","1,792,073","2,069,273","2,301,000"
44,Kushtia,KUS,Dist,কুষ্টিয়া জেলা,KHD,"1,601","1,502,126","1,740,155","1,946,838","2,170,000"
16,Lakshmipur,LAK,Dist,লক্ষ্মীপুর জেলা,CHD,"1,456","1,312,337","1,489,901","1,729,188","1,995,000"
62,Lalmonirhat,LAL,Dist,লালমনিরহাট জেলা,RPD,"1,241","953,460","1,109,343","1,256,099","1,398,000"
25,Madaripur,MAD,Dist,মাদারীপুর জেলা,DHD,"1,145","1,069,176","1,146,349","1,165,952","1,295,000"
45,Magura,MAG,Dist,মাগুরা জেলা,KHD,"1,049","724,027","824,311","918,419","1,020,000"
26,Manikganj,MAN,Dist,মানিকগঞ্জ জেলা,DHD,"1,379","1,175,909","1,285,080","1,392,867","1,542,000"
69,Moulvibazar,MAU,Dist,মৌলভীবাজার জেলা,SHD,"2,799","1,376,566","1,612,374","1,919,062","2,148,000"
46,Meherpur,MEH,Dist,মেহেরপুর জেলা,KHD,716,"491,917","591,430","655,392","716,000"
27,Munshiganj,MUN,Dist,মুন্সিগঞ্জ জেলা,DHD,955,"1,188,387","1,293,972","1,445,660","1,583,000"
35,Mymensingh,MYM,Dist,ময়মনসিংহ জেলা,MSD,"4,363","3,957,182","4,489,726","5,110,272","5,807,000"
53,Naogaon,NAO,Dist,নওগাঁ জেলা,RSD,"3,436","2,148,053","2,391,355","2,600,157","2,844,000"
47,Narail,NRA,Dist,নড়াইল জেলা,KHD,990,"655,720","698,447","721,668","801,000"
28,Narayanganj,NYG,Dist,নারায়ণগঞ্জ জেলা,DHD,700,"1,754,804","2,173,948","2,948,217","3,284,000"
29,Narsingdi,NSD,Dist,নরসিংদী জেলা,DHD,"1,141","1,652,123","1,895,984","2,224,944","2,489,000"
54,Natore,NAT,Dist,নাটোর জেলা,RSD,"1,896","1,387,761","1,521,336","1,706,673","1,866,000"
