tdate,dis_name,positive_cases
4/14/2020,Bagerhat,1
4/17/2020,Bagerhat,1
4/18/2020,Bagerhat,1
4/19/2020,Bagerhat,2
4/26/2020,Bagerhat,1
4/27/2020,Bagerhat,1
4/28/2020,Bagerhat,2
5/11/2020,Bagerhat,2
5/12/2020,Bagerhat,1
5/14/2020,Bagerhat,2
5/15/2020,Bagerhat,1
5/16/2020,Bagerhat,4
5/17/2020,Bagerhat,7
5/18/2020,Bagerhat,1
5/19/2020,Bagerhat,2
5/2/2020,Bagerhat,1
5/20/2020,Bagerhat,3
5/21/2020,Bagerhat,5
5/22/2020,Bagerhat,11
5/24/2020,Bagerhat,6
5/25/2020,Bagerhat,2
5/30/2020,Bagerhat,1
5/31/2020,Bagerhat,7
5/4/2020,Bagerhat,2
5/6/2020,Bagerhat,1
5/7/2020,Bagerhat,1
5/8/2020,Bagerhat,4
6/1/2020,Bagerhat,2
6/10/2020,Bagerhat,4
6/11/2020,Bagerhat,3
6/12/2020,Bagerhat,22
6/13/2020,Bagerhat,17
6/14/2020,Bagerhat,2
6/15/2020,Bagerhat,11
6/16/2020,Bagerhat,4
6/17/2020,Bagerhat,23
6/19/2020,Bagerhat,8
6/2/2020,Bagerhat,1
6/20/2020,Bagerhat,5
6/21/2020,Bagerhat,17
6/22/2020,Bagerhat,4
6/23/2020,Bagerhat,28
6/24/2020,Bagerhat,11
6/26/2020,Bagerhat,6
6/27/2020,Bagerhat,38
6/28/2020,Bagerhat,4
6/29/2020,Bagerhat,2
6/3/2020,Bagerhat,11
6/4/2020,Bagerhat,3
6/5/2020,Bagerhat,2
6/6/2020,Bagerhat,13
6/7/2020,Bagerhat,4
6/8/2020,Bagerhat,1
6/9/2020,Bagerhat,4
7/1/2020,Bagerhat,3
7/11/2020,Bagerhat,1
7/13/2020,Bagerhat,1
7/14/2020,Bagerhat,1
7/15/2020,Bagerhat,1
7/16/2020,Bagerhat,1
7/17/2020,Bagerhat,1
7/18/2020,Bagerhat,2
7/2/2020,Bagerhat,12
7/20/2020,Bagerhat,1
7/3/2020,Bagerhat,12
7/4/2020,Bagerhat,17
7/5/2020,Bagerhat,13
7/6/2020,Bagerhat,13
7/7/2020,Bagerhat,19
7/8/2020,Bagerhat,1
7/9/2020,Bagerhat,2
4/22/2020,Bandarban,1
4/24/2020,Bandarban,1
5/1/2020,Bandarban,1
5/11/2020,Bandarban,1
5/12/2020,Bandarban,1
5/13/2020,Bandarban,2
5/14/2020,Bandarban,1
5/16/2020,Bandarban,2
5/17/2020,Bandarban,3
5/18/2020,Bandarban,5
5/19/2020,Bandarban,4
5/20/2020,Bandarban,3
5/22/2020,Bandarban,1
5/23/2020,Bandarban,2
5/24/2020,Bandarban,2
5/25/2020,Bandarban,2
5/27/2020,Bandarban,5
5/28/2020,Bandarban,10
5/29/2020,Bandarban,2
5/30/2020,Bandarban,3
5/31/2020,Bandarban,7
5/4/2020,Bandarban,1
5/9/2020,Bandarban,1
6/1/2020,Bandarban,5
6/10/2020,Bandarban,15
6/11/2020,Bandarban,6
6/12/2020,Bandarban,4
6/13/2020,Bandarban,2
6/14/2020,Bandarban,5
6/15/2020,Bandarban,6
6/16/2020,Bandarban,10
6/17/2020,Bandarban,25
6/18/2020,Bandarban,34
6/19/2020,Bandarban,56
6/2/2020,Bandarban,3
6/20/2020,Bandarban,32
6/21/2020,Bandarban,23
6/22/2020,Bandarban,27
6/23/2020,Bandarban,51
6/24/2020,Bandarban,39
6/25/2020,Bandarban,35
6/26/2020,Bandarban,42
6/27/2020,Bandarban,16
6/28/2020,Bandarban,89
6/29/2020,Bandarban,6
6/3/2020,Bandarban,2
6/30/2020,Bandarban,43
6/4/2020,Bandarban,2
6/6/2020,Bandarban,8
6/7/2020,Bandarban,1
6/8/2020,Bandarban,21
6/9/2020,Bandarban,24
7/1/2020,Bandarban,39
7/10/2020,Bandarban,10
7/11/2020,Bandarban,3
7/12/2020,Bandarban,5
7/13/2020,Bandarban,3
7/14/2020,Bandarban,2
7/16/2020,Bandarban,2
